subid,sex,age
160728_02,F,4
160728_03,F,3
160728_04,F,3
160728_05,F,3
160729_02,M,3
160801_02,M,4
160802_01,M,3
160802_03,M,4
160803_01,M,4
160803_02,F,4
160804_01,M,3
160811_03,F,3
160811_04,M,4
160811_06,F,3
160816_03,F,4
160816_04,M,3
160816_06,M,3
160816_07,F,4
160817_01,F,3
160817_02,F,3
160817_03,M,3
160817_05,M,4
160817_06,M,4
160817_07,M,3
160817_08,F,3
160818_03,M,4
160818_05,M,4
160818_06,F,3
160818_07,NA,4
160819_01,F,3
160819_02,F,4
160819_03,F,3
160819_06,M,4
160819_07,F,4
160819_08,M,4
160822_01,M,4
160822_03,M,4
160822_04,M,4
160822_06,F,3
160823_01,M,3
