subid,age,gender,keepdrop,experimenter,site,
170207-01,4.394520548,M,drop,JC,bing,
170214-01,5.117808219,M,keep,JC,bing,
170214-02,4.345205479,M,keep,JC,bing,
170228-01,4.44109589,M,keep,JC,bing,
170228-02,4.693150685,F,keep,JC,bing,
170228-03,5.063013699,F,keep,JC,bing,
170228-04,4.778082192,M,keep,JC,bing,
170228-05,3.706849315,F,keep,JC,bing,
170307-01,3.452054795,F,keep,JC,bing,
170307-02,4.55890411,F,keep,JC,bing,
170307-03,3.726027397,F,keep,JC,bing,
170307-04,4.580821918,M,keep,JC,bing,
161115-01,4.747222222,F,drop,RL,bing,
161115-02,3.105555556,F,drop,RL,bing,
161116-01,4.305555556,F,drop,RL,bing,
161116-02,4.647222222,F,drop,RL,bing,
161116-03,4.305555556,F,drop,RL,bing,
161130-01,4.802777778,F,drop,RL,bing,
161206-01,3.286111111,M,drop,RL,bing,
161206-02,3.191666667,M,drop,RL,bing,
161206-03,4.544444444,F,drop,RL,bing,
161206-04,4.172222222,M,drop,RL,bing,
161206-05,4.725,F,drop,RL,bing,
170123-01,3.977777778,M,drop,RL,bing,
170123-02,4.261111111,M,drop,RL,bing,
170125-01,4.766666667,M,drop,RL,bing,
170125-02,4.611111111,F,drop,RL,bing,
170206-01,4.175,F,drop,RL,bing,
170206-02,3.841666667,F,drop,RL,bing,
170206-03,4.716666667,M,drop,RL,bing,
170213-01,3.933333333,M,drop,RL,bing,
170213-02,4.391666667,F,drop,RL,bing,
170215-01,3.608333333,M,keep,RL,bing,
170306-01,4.094444444,F,keep,RL,bing,
170308-01,3.872222222,M,keep,RL,bing,
170308-02,4.519444444,F,keep,RL,bing,
170308-03,3.644444444,M,keep,RL,bing,
170712-01,4.347222222,M,keep,HQ,bing,
170712-02,3.438888889,M,drop,HQ,bing,
170712-03,4.608333333,F,keep,HQ,bing,
170712-04,3.838888889,F,keep,HQ,bing,
170712-05,4.694444444,F,keep,HQ,bing,
170712-06,4.925,F,drop,HQ,bing,
170712-07,3.052777778,M,keep,HQ,bing,
170712-08,4.125,M,keep,HQ,bing,
170712-09,4.938888889,M,keep,HQ,bing,
170712-10,3.125,M,keep,HQ,bing,
170712-11,4.091666667,F,keep,HQ,bing,
170712-12,4.930555556,F,keep,HQ,bing,
170712-13,4.611111111,F,drop,HQ,bing,
170712-14,4.961111111,F,keep,HQ,bing,
170712-15,4.611111111,M,drop,HQ,bing,
170714-16,4.005555556,F,keep,HQ,bing,
170714-17,4.966666667,F,keep,HQ,bing,
170714-18,3.538888889,M,keep,HQ,bing,
170714-19,3.108333333,F,keep,HQ,bing,
170714-20,4.661111111,M,keep,HQ,bing,
170714-21,4.161111111,M,keep,HQ,bing,
170714-22,3.769444444,F,keep,HQ,bing,
170714-23,3.630555556,M,keep,HQ,bing,
170719-24,3.141666667,F,keep,HQ,bing,
170719-25,4.083333333,F,keep,HQ,bing,
170719-26,4.208333333,F,keep,HQ,bing,
170719-27,3.891666667,M,keep,HQ,bing,
170721-28,3.461111111,M,keep,HQ,bing,
170721-29,3.502777778,F,keep,HQ,bing,
170726-30,3.936111111,M,keep,HQ,bing,
170728_31,3.508333333,M,keep,HQ,bing,
170804_32,3.386111111,F,keep,HQ,bing,
170804_33,3.905555556,F,keep,HQ,bing,
170804_34,3.094444444,M,keep,HQ,bing,
170804_35,3.386111111,F,keep,HQ,bing,
170804_36,3.886111111,M,keep,HQ,bing,
