subid,age,gender,keepdrop,experimenter,site
170207-01,4.394520548,M,drop,JC,bing
170214-01,5.117808219,M,keep,JC,bing
170214-02,4.345205479,M,keep,JC,bing
170228-01,4.44109589,M,keep,JC,bing
170228-02,4.693150685,F,keep,JC,bing
170228-03,5.063013699,F,keep,JC,bing
170228-04,4.778082192,M,keep,JC,bing
170228-05,3.706849315,F,keep,JC,bing
170307-01,3.452054795,F,keep,JC,bing
170307-02,4.55890411,F,keep,JC,bing
170307-03,3.726027397,F,keep,JC,bing
170307-04,4.580821918,M,keep,JC,bing
161115-01,4.747222222,F,drop,RL,bing
161115-02,3.105555556,F,drop,RL,bing
161116-01,4.305555556,F,drop,RL,bing
161116-02,4.647222222,F,drop,RL,bing
161116-03,4.305555556,F,drop,RL,bing
161130-01,4.802777778,F,drop,RL,bing
161206-01,3.286111111,M,drop,RL,bing
161206-02,3.191666667,M,drop,RL,bing
161206-03,4.544444444,F,drop,RL,bing
161206-04,4.172222222,M,drop,RL,bing
161206-05,4.725,F,drop,RL,bing
170123-01,3.977777778,M,drop,RL,bing
170123-02,4.261111111,M,drop,RL,bing
170125-01,4.766666667,M,drop,RL,bing
170125-02,4.611111111,F,drop,RL,bing
170206-01,4.175,F,drop,RL,bing
170206-02,3.841666667,F,drop,RL,bing
170206-03,4.716666667,M,drop,RL,bing
170213-01,3.933333333,M,drop,RL,bing
170213-02,4.391666667,F,drop,RL,bing
170215-01,3.608333333,M,keep,RL,bing
170306-01,4.094444444,F,keep,RL,bing
170308-01,3.872222222,M,keep,RL,bing
170308-02,4.519444444,F,keep,RL,bing
170308-03,3.644444444,M,keep,RL,bing
