"subid","age","annual_income","country","density","education_level","languages_spoken_at_home","number_of_books","number_of_children","number_of_guardians","race_identification","spouse_education_level","state"
3611,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",NA,NA
3908,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[]",NA,NA
3212,"35-39","90000",NA,NA,"bach",NA,100,6,"2","[u'white']","bach",NA
3622,"35-39","50000",NA,"suburban","bach","English",50,3,"2","[u'white']","col",NA
316,"35-39","150000","US","suburban","prof","English",250,3,"2","[u'white']","bach","PA"
73,"35-39","80000",NA,NA,"col","English",30,1,"1","[u'white']","hs",NA
3397,"30-34","110000",NA,NA,"prof",NA,150,2,"varies","[u'white']","bach",NA
3254,"25-29","5000",NA,NA,"bach",NA,60,NA,"1","[u'white']","col",NA
1376,"25-29","50000","US","suburban","prof","English",30,3,"2","[u'white']","prof","VA"
2456,"30-34","80000",NA,NA,"bach",NA,30,NA,"2","[u'white']","bach",NA
1946,"25-29","100000",NA,NA,"prof","English",300,2,"2","[u'white']","prof",NA
131,"25-29","100000","US","suburban","prof","English",30,1,"2","[u'white']","bach","OR"
1371,"30-34","110000","US","rural","prof","English",30,1,"2","[u'white']","prof","IA"
410,"30-34","40000","CN","urban","prof","Chinese",10,1,"2","[u'asian']","prof",NA
370,"25-29","80000","MX","suburban","prof","SPANISH ENGLISH",12,1,"2","[u'hisp']","prof",NA
3545,"40-44","190000","US","urban","prof","English, some Russian",25,1,"2","[u'white']","prof","CT"
1342,"35-39","180000","US","urban","prof","English",200,2,"2","[u'white']","prof","PA"
2091,"30-34","100000","US","suburban","prof","English",100,2,NA,"[u'white']","prof","NY"
577,"35-39","120000","US","urban","prof","English",200,3,"2","[u'white']","prof","MA"
2338,"35-39",NA,"US","urban","prof","English",50,1,"2","[u'white']","grad","MA"
221,"30-34",">200000","US","urban","prof","Chinese",50,1,"2","[u'asian']","prof","WA"
2260,"40-44",NA,"US","urban","prof","English",200,3,"2","[u'white']","col","MA"
2399,"30-34","80000","US","suburban","prof","English",50,2,"2","[u'white']","prof","MD"
3649,"25-29","150000","US","urban","grad","English",300,2,"2","[u'white']","prof","MA"
3790,NA,NA,"AO",NA,NA,NA,NA,NA,NA,"[]",NA,NA
3754,"25-29","70000","US","suburban","grad","korean",10,1,"2","[u'asian']","prof","CA"
3690,"25-29","30000","US","suburban","assoc","English",100,2,"2","[u'white']","col","FL"
3694,"30-34","80000","US","rural","bach","English",1000,4,"2","[u'white']","prof","IL"
3713,"25-29","100000","US","suburban","grad","Korean",10,1,"3>","[u'asian']","prof","CA"
3737,"30-34",NA,"US","urban","assoc","English",500,3,"2","[u'white']","bach","CA"
3758,"35-39",">200000","US","urban","prof","English",50,2,"2","[u'white']","prof","MA"
3762,"35-39","150000","US","urban","grad","English, some Spanish",150,2,"2","[u'white', u'hisp']","bach","MA"
3765,"35-39","na","US","suburban","prof","English",100,1,"2","[u'white']","prof","CA"
3767,"25-29","30000","US","rural","bach","English, Spanish, German, French, Hawaiian",15,1,"2","[u'white', u'hisp']","bach","HI"
3769,"35-39","60000","US","urban","bach","English & Italian",200,2,"2","[u'white']","bach","MA"
3798,"30-34","160000","US","suburban","bach","English",1000,2,"2","[u'white']","prof","NH"
3831,"30-34","110000","US","urban","prof","english",300,3,"2","[u'white']","prof","TX"
3875,"25-29","40000","US","suburban","bach","English",200,2,"2","[u'white', u'hisp']","hs","NC"
3905,"35-39","110000","US","suburban","prof","English",300,4,"3>","[u'white']","prof","IL"
3901,"30-34","na","US","suburban","assoc","English, Portuguese",100,2,"2","[u'white', u'hisp', u'other']","hs","MA"
3903,"30-34",">200000","US","suburban","prof","english",75,1,"2","[u'white']","bach","CO"
3906,"40-44","120000","US","urban","prof","English",250,1,"2","[u'white']","prof","MA"
3911,"30-34","40000","US","suburban","bach","English",200,3,"2","[u'white']","bach","CA"
3914,"50s",">200000","PE","urban","prof","Spanish, English",200,2,"2","[u'hisp']","prof",NA
3956,"25-29","40000","US","rural","bach","English",200,3,"2","[u'white']","bach","OR"
3961,"40-44","na","US","suburban","prof","english",100,1,"2","[u'white']","prof","NY"
3963,"35-39","100000","US","urban","prof","English",250,2,"2","[u'white']","prof","TX"
3965,"30-34","na","US","suburban","prof","English",200,2,"2","[u'white', u'asian']","prof","OR"
3979,"35-39","170000","US","suburban","prof","English",50,2,"2","[u'white']","prof","FL"
3996,"30-34","70000","US","suburban","col","English",150,3,"2","[u'white']","col","TN"
4019,"30-34","30000","US","suburban","assoc","English",125,2,"2","[u'white', u'hisp']","assoc","OH"
4021,"30-34","130000","US","urban","bach","English",400,2,"2","[u'white']","col","MD"
4024,"25-29","30000","US",NA,"bach","English",100,2,"2","[u'white']","assoc","PA"
4027,"35-39","170000","US","urban","prof","English",200,1,"1","[u'white', u'hawaiian-pac-isl']","na","CO"
4028,"25-29","130000","US","suburban","prof","English",250,2,"2","[u'white']","prof","NH"
4031,"30-34","120000","US","suburban","prof","English",250,2,"2","[u'white']","prof","NH"
4033,"25-29","70000","US","suburban","col","English",100,2,"2","[u'white']","grad","TX"
4037,"30-34","80000","US","rural","grad","English",200,2,"2","[u'white']","assoc","SC"
4038,"30-34","90000","US","suburban","prof","English",100,2,"2","[u'white']","prof","PA"
