trial,speaker_ord1,request_type_ord1,item_ord1,question_type_ord1,polite_speaker_ord1,correct_ord1,speaker_ord2,request_type_ord2,item_ord2,question_type_ord2,polite_speaker_ord2,correct_ord2
trial1_1,Polite,please,light,polite,1,1,Impolite,idq,puzzle,polite,2,2
trial1_2,Impolite,please,light,play_with,1,1,Polite,idq,puzzle,compliance,2,2
trial2_1,Polite,please,water,polite,1,1,Impolite,please,no_shouting,rude,2,1
trial2_2,Impolite,please,water,compliance,1,1,Polite,please,no_shouting,play_with,2,2
trial3_1,Impolite,idq,toys,rude,2,1,Polite,idq,no_running,rude,1,2
trial3_2,Polite,idq,toys,play_with,2,2,Impolite,idq,no_running,play_with,1,1
trial4_1,Impolite,please_idq,store,polite,2,2,Impolite,please_idq,bread,polite,2,2
trial4_2,Polite,please_idq,store,compliance,2,2,Polite,please_idq,bread,play_with,2,2
trial5_1,polite,please,chocolate,rude,1,2,Polite,idq,game,rude,1,2
trial5_2,Impolite,please,chocolate,compliance,1,1,Impolite,idq,game,compliance,1,1
trial6_1,Impolite,please_idq,no_singing,polite,2,2,Polite,please_idq,scissors,polite,1,1
trial6_2,Polite,please_idq,no_singing,play_with,2,2,Impolite,please_idq,scissors,compliance,1,1
trial7_1,Impolite,idq,no_running,polite,2,2,Polite,please_idq,no_singing,rude,1,2
trial7_2,Polite,idq,no_running,play_with,2,2,Impolite,please_idq,no_singing,play_with,1,1
trial8_1,Polite,please_idq,bread,rude,1,2,Impolite,please,chocolate,polite,2,2
trial8_2,Impolite,please_idq,bread,play_with,1,1,Polite,please,chocolate,compliance,2,2
trial9_1,Impolite,please_idq,scissors,rude,2,1,Polite,please_idq,store,rude,1,2
trial9_2,Polite,please_idq,scissors,compliance,2,2,Impolite,please_idq,store,compliance,1,1
trial10_1,Polite,idq,puzzle,polite,1,1,Impolite,idq,toys,polite,2,2
trial10_2,Impolite,idq,puzzle,compliance,1,1,Polite,idq,toys,play_with,2,2
trial11_1,Polite,please,no_shouting,rude,1,2,Impolite,please,water,rude,2,1
trial11_2,Impolite,please,no_shouting,play_with,1,1,Polite,please,water,compliance,2,2
trial12_1,Impolite,idq,game,rude,2,1,Impolite,please,light,polite,2,2
trial12_2,Polite,idq,game,compliance,2,2,Polite,please,light,play_with,2,2
