"subid","expt","age","gender","order","trial","request_type","question_type","item","correct","age_fct"
"160728_02","v1",4.12,"F","1","1","please","polite","light",0,4
"160728_03","v1",3.58,"F","1","1","please","polite","light",0,3
"160728_04","v1",3.8,"F","1","1","please","polite","light",1,3
"160728_05","v1",3.74,"F","1","1","please","polite","light",1,3
"160801_02","v1",4.35,"M","1","1","please","polite","light",NA,4
"160803_01","v1",4.41,"M","1","1","please","polite","light",0,4
"160803_02","v1",4.32,"F","1","1","please","polite","light",1,4
"160811_04","v1",4.12,"M","1","1","please","polite","light",1,4
"160811_06","v1",3.96,"F","1","1","please","polite","light",1,3
"160816_03","v1",4.02,"F","1","1","please","polite","light",0,4
"160816_04","v1",3.99,"M","1","1","please","polite","light",0,3
"160816_07","v1",4.56,"F","1","1","please","polite","light",0,4
"160817_02","v1",3.31,"F","1","1","please","polite","light",0,3
"160817_03","v1",3.3,"M","1","1","please","polite","light",0,3
"160817_06","v1",4.22,"M","1","1","please","polite","light",1,4
"160817_08","v1",3.47,"F","1","1","please","polite","light",1,3
"160818_03","v1",4.46,"M","1","1","please","polite","light",1,4
"160819_01","v1",3.36,"F","1","1","please","polite","light",0,3
"160819_03","v1",3.77,"F","1","1","please","polite","light",0,3
"160819_08","v1",4.73,"M","1","1","please","polite","light",1,4
"160822_06","v1",3.5,"F","1","1","please","polite","light",1,3
"160728_02","v1",4.12,"F","1","1","please","play","light",0,4
"160728_03","v1",3.58,"F","1","1","please","play","light",1,3
"160728_04","v1",3.8,"F","1","1","please","play","light",1,3
"160728_05","v1",3.74,"F","1","1","please","play","light",1,3
"160801_02","v1",4.35,"M","1","1","please","play","light",NA,4
"160803_01","v1",4.41,"M","1","1","please","play","light",0,4
"160803_02","v1",4.32,"F","1","1","please","play","light",0,4
"160811_04","v1",4.12,"M","1","1","please","play","light",0,4
"160811_06","v1",3.96,"F","1","1","please","play","light",1,3
"160816_03","v1",4.02,"F","1","1","please","play","light",0,4
"160816_04","v1",3.99,"M","1","1","please","play","light",1,3
"160816_07","v1",4.56,"F","1","1","please","play","light",1,4
"160817_02","v1",3.31,"F","1","1","please","play","light",0,3
"160817_03","v1",3.3,"M","1","1","please","play","light",1,3
"160817_06","v1",4.22,"M","1","1","please","play","light",1,4
"160817_08","v1",3.47,"F","1","1","please","play","light",0,3
"160818_03","v1",4.46,"M","1","1","please","play","light",1,4
"160819_01","v1",3.36,"F","1","1","please","play","light",1,3
"160819_03","v1",3.77,"F","1","1","please","play","light",1,3
"160819_08","v1",4.73,"M","1","1","please","play","light",1,4
"160822_06","v1",3.5,"F","1","1","please","play","light",1,3
"160728_02","v1",4.12,"F","1","2","please","nice","water",1,4
"160728_03","v1",3.58,"F","1","2","please","nice","water",1,3
"160728_04","v1",3.8,"F","1","2","please","nice","water",1,3
"160728_05","v1",3.74,"F","1","2","please","nice","water",1,3
"160801_02","v1",4.35,"M","1","2","please","nice","water",0,4
"160803_01","v1",4.41,"M","1","2","please","nice","water",1,4
"160803_02","v1",4.32,"F","1","2","please","nice","water",0,4
"160811_04","v1",4.12,"M","1","2","please","nice","water",1,4
"160811_06","v1",3.96,"F","1","2","please","nice","water",1,3
"160816_03","v1",4.02,"F","1","2","please","nice","water",0,4
"160816_04","v1",3.99,"M","1","2","please","nice","water",0,3
"160816_07","v1",4.56,"F","1","2","please","nice","water",1,4
"160817_02","v1",3.31,"F","1","2","please","nice","water",0,3
"160817_03","v1",3.3,"M","1","2","please","nice","water",0,3
"160817_06","v1",4.22,"M","1","2","please","nice","water",1,4
"160817_08","v1",3.47,"F","1","2","please","nice","water",0,3
"160818_03","v1",4.46,"M","1","2","please","nice","water",1,4
"160819_01","v1",3.36,"F","1","2","please","nice","water",0,3
"160819_03","v1",3.77,"F","1","2","please","nice","water",1,3
"160819_08","v1",4.73,"M","1","2","please","nice","water",1,4
"160822_06","v1",3.5,"F","1","2","please","nice","water",1,3
"160728_02","v1",4.12,"F","1","2","please","comp","water",1,4
"160728_03","v1",3.58,"F","1","2","please","comp","water",0,3
"160728_04","v1",3.8,"F","1","2","please","comp","water",1,3
"160728_05","v1",3.74,"F","1","2","please","comp","water",1,3
"160801_02","v1",4.35,"M","1","2","please","comp","water",1,4
"160803_01","v1",4.41,"M","1","2","please","comp","water",0,4
"160803_02","v1",4.32,"F","1","2","please","comp","water",1,4
"160811_04","v1",4.12,"M","1","2","please","comp","water",0,4
"160811_06","v1",3.96,"F","1","2","please","comp","water",1,3
"160816_03","v1",4.02,"F","1","2","please","comp","water",0,4
"160816_04","v1",3.99,"M","1","2","please","comp","water",1,3
"160816_07","v1",4.56,"F","1","2","please","comp","water",1,4
"160817_02","v1",3.31,"F","1","2","please","comp","water",0,3
"160817_03","v1",3.3,"M","1","2","please","comp","water",1,3
"160817_06","v1",4.22,"M","1","2","please","comp","water",1,4
"160817_08","v1",3.47,"F","1","2","please","comp","water",0,3
"160818_03","v1",4.46,"M","1","2","please","comp","water",1,4
"160819_01","v1",3.36,"F","1","2","please","comp","water",1,3
"160819_03","v1",3.77,"F","1","2","please","comp","water",1,3
"160819_08","v1",4.73,"M","1","2","please","comp","water",1,4
"160822_06","v1",3.5,"F","1","2","please","comp","water",1,3
"160728_02","v1",4.12,"F","1","3","can you~","mean","toys",1,4
"160728_03","v1",3.58,"F","1","3","can you~","mean","toys",0,3
"160728_04","v1",3.8,"F","1","3","can you~","mean","toys",1,3
"160728_05","v1",3.74,"F","1","3","can you~","mean","toys",1,3
"160801_02","v1",4.35,"M","1","3","can you~","mean","toys",0,4
"160803_01","v1",4.41,"M","1","3","can you~","mean","toys",1,4
"160803_02","v1",4.32,"F","1","3","can you~","mean","toys",0,4
"160811_04","v1",4.12,"M","1","3","can you~","mean","toys",1,4
"160811_06","v1",3.96,"F","1","3","can you~","mean","toys",0,3
"160816_03","v1",4.02,"F","1","3","can you~","mean","toys",1,4
"160816_04","v1",3.99,"M","1","3","can you~","mean","toys",1,3
"160816_07","v1",4.56,"F","1","3","can you~","mean","toys",1,4
"160817_02","v1",3.31,"F","1","3","can you~","mean","toys",1,3
"160817_03","v1",3.3,"M","1","3","can you~","mean","toys",0,3
"160817_06","v1",4.22,"M","1","3","can you~","mean","toys",1,4
"160817_08","v1",3.47,"F","1","3","can you~","mean","toys",0,3
"160818_03","v1",4.46,"M","1","3","can you~","mean","toys",1,4
"160819_01","v1",3.36,"F","1","3","can you~","mean","toys",0,3
"160819_03","v1",3.77,"F","1","3","can you~","mean","toys",1,3
