"subid","order","trial","speaker","request_type","question_type","correct","polite_speaker","answer","choose_polite","sex","age"
"160728_02",1,"trial1_1","Polite","please","polite",0,1,2,0,"F",4
"160728_03",1,"trial1_1","Polite","please","polite",0,1,2,0,"F",3
"160728_04",1,"trial1_1","Polite","please","polite",1,1,1,1,"F",3
"160728_05",1,"trial1_1","Polite","please","polite",1,1,1,1,"F",3
"160801_02",1,"trial1_1","Polite","please","polite",NA,1,NA,NA,"M",4
"160803_01",1,"trial1_1","Polite","please","polite",0,1,2,0,"M",4
"160803_02",1,"trial1_1","Polite","please","polite",1,1,1,1,"F",4
"160811_04",1,"trial1_1","Polite","please","polite",1,1,1,1,"M",4
"160811_06",1,"trial1_1","Polite","please","polite",1,1,1,1,"F",3
"160816_03",1,"trial1_1","Polite","please","polite",0,1,2,0,"F",4
"160816_04",1,"trial1_1","Polite","please","polite",0,1,2,0,"M",3
"160816_07",1,"trial1_1","Polite","please","polite",0,1,2,0,"F",4
"160817_02",1,"trial1_1","Polite","please","polite",0,1,2,0,"F",3
"160817_03",1,"trial1_1","Polite","please","polite",0,1,2,0,"M",3
"160817_06",1,"trial1_1","Polite","please","polite",1,1,1,1,"M",4
"160817_08",1,"trial1_1","Polite","please","polite",1,1,1,1,"F",3
"160818_03",1,"trial1_1","Polite","please","polite",1,1,1,1,"M",4
"160818_07",1,"trial1_1","Polite","please","polite",0,1,2,0,NA,4
"160819_01",1,"trial1_1","Polite","please","polite",0,1,2,0,"F",3
"160819_03",1,"trial1_1","Polite","please","polite",0,1,2,0,"F",3
"160819_08",1,"trial1_1","Polite","please","polite",1,1,1,1,"M",4
"160822_06",1,"trial1_1","Polite","please","polite",1,1,1,1,"F",3
"160728_02",1,"trial1_2","Impolite","please","play_with",0,1,2,0,"F",4
"160728_03",1,"trial1_2","Impolite","please","play_with",1,1,1,1,"F",3
"160728_04",1,"trial1_2","Impolite","please","play_with",1,1,1,1,"F",3
"160728_05",1,"trial1_2","Impolite","please","play_with",1,1,1,1,"F",3
"160801_02",1,"trial1_2","Impolite","please","play_with",NA,1,NA,NA,"M",4
"160803_01",1,"trial1_2","Impolite","please","play_with",0,1,2,0,"M",4
"160803_02",1,"trial1_2","Impolite","please","play_with",0,1,2,0,"F",4
"160811_04",1,"trial1_2","Impolite","please","play_with",0,1,2,0,"M",4
"160811_06",1,"trial1_2","Impolite","please","play_with",1,1,1,1,"F",3
"160816_03",1,"trial1_2","Impolite","please","play_with",0,1,2,0,"F",4
