"subid","order","trial","request_type","question_type","correct","valence","adjective","age","gender","keepdrop","experimenter","site","age_fct"
"170306-01","1","1","please","polite",0,"positive","hard",4.094444444,"F","keep","RL","bing",4
"170306-01","1","2","please","nice",1,"positive","easy",4.094444444,"F","keep","RL","bing",4
"170306-01","1","3","idq","mean",1,"negative","easy",4.094444444,"F","keep","RL","bing",4
"170306-01","1","4","please_idq","nice",0,"positive","easy",4.094444444,"F","keep","RL","bing",4
"170306-01","1","5","please","mean",1,"negative","easy",4.094444444,"F","keep","RL","bing",4
"170306-01","1","6","please_idq","polite",1,"positive","hard",4.094444444,"F","keep","RL","bing",4
"170306-01","1","7","idq","nice",1,"positive","easy",4.094444444,"F","keep","RL","bing",4
"170306-01","1","8","please_idq","mean",0,"negative","easy",4.094444444,"F","keep","RL","bing",4
"170306-01","1","9","please_idq","rude",0,"negative","hard",4.094444444,"F","keep","RL","bing",4
"170306-01","1","10","idq","polite",1,"positive","hard",4.094444444,"F","keep","RL","bing",4
"170306-01","1","11","please","rude",1,"negative","hard",4.094444444,"F","keep","RL","bing",4
"170306-01","1","12","idq","rude",0,"negative","hard",4.094444444,"F","keep","RL","bing",4
"170307-01","1","1","please","polite",1,"positive","hard",3.452054795,"F","keep","JC","bing",3
"170307-01","1","2","please","nice",1,"positive","easy",3.452054795,"F","keep","JC","bing",3
"170307-01","1","3","idq","mean",1,"negative","easy",3.452054795,"F","keep","JC","bing",3
"170307-01","1","4","please_idq","nice",1,"positive","easy",3.452054795,"F","keep","JC","bing",3
"170307-01","1","5","please","mean",1,"negative","easy",3.452054795,"F","keep","JC","bing",3
"170307-01","1","6","please_idq","polite",1,"positive","hard",3.452054795,"F","keep","JC","bing",3
"170307-01","1","7","idq","nice",1,"positive","easy",3.452054795,"F","keep","JC","bing",3
"170307-01","1","8","please_idq","mean",1,"negative","easy",3.452054795,"F","keep","JC","bing",3
"170307-01","1","9","please_idq","rude",1,"negative","hard",3.452054795,"F","keep","JC","bing",3
"170307-01","1","10","idq","polite",1,"positive","hard",3.452054795,"F","keep","JC","bing",3
"170307-01","1","11","please","rude",1,"negative","hard",3.452054795,"F","keep","JC","bing",3
"170307-01","1","12","idq","rude",1,"negative","hard",3.452054795,"F","keep","JC","bing",3
"170307-02","1","1","please","polite",1,"positive","hard",4.55890411,"F","keep","JC","bing",4
"170307-02","1","2","please","nice",1,"positive","easy",4.55890411,"F","keep","JC","bing",4
"170307-02","1","3","idq","mean",1,"negative","easy",4.55890411,"F","keep","JC","bing",4
"170307-02","1","4","please_idq","nice",1,"positive","easy",4.55890411,"F","keep","JC","bing",4
"170307-02","1","5","please","mean",1,"negative","easy",4.55890411,"F","keep","JC","bing",4
"170307-02","1","6","please_idq","polite",0,"positive","hard",4.55890411,"F","keep","JC","bing",4
"170307-02","1","7","idq","nice",1,"positive","easy",4.55890411,"F","keep","JC","bing",4
"170307-02","1","8","please_idq","mean",1,"negative","easy",4.55890411,"F","keep","JC","bing",4
"170307-02","1","9","please_idq","rude",1,"negative","hard",4.55890411,"F","keep","JC","bing",4
"170307-02","1","10","idq","polite",1,"positive","hard",4.55890411,"F","keep","JC","bing",4
"170307-02","1","11","please","rude",1,"negative","hard",4.55890411,"F","keep","JC","bing",4
"170307-02","1","12","idq","rude",1,"negative","hard",4.55890411,"F","keep","JC","bing",4
"170308-02","1","1","please","polite",1,"positive","hard",4.519444444,"F","keep","RL","bing",4
"170308-02","1","2","please","nice",1,"positive","easy",4.519444444,"F","keep","RL","bing",4
"170308-02","1","3","idq","mean",1,"negative","easy",4.519444444,"F","keep","RL","bing",4
"170308-02","1","4","please_idq","nice",1,"positive","easy",4.519444444,"F","keep","RL","bing",4
"170308-02","1","5","please","mean",1,"negative","easy",4.519444444,"F","keep","RL","bing",4
"170308-02","1","6","please_idq","polite",1,"positive","hard",4.519444444,"F","keep","RL","bing",4
"170308-02","1","7","idq","nice",1,"positive","easy",4.519444444,"F","keep","RL","bing",4
"170308-02","1","8","please_idq","mean",1,"negative","easy",4.519444444,"F","keep","RL","bing",4
"170308-02","1","9","please_idq","rude",1,"negative","hard",4.519444444,"F","keep","RL","bing",4
"170308-02","1","10","idq","polite",1,"positive","hard",4.519444444,"F","keep","RL","bing",4
"170308-02","1","11","please","rude",1,"negative","hard",4.519444444,"F","keep","RL","bing",4
"170308-02","1","12","idq","rude",1,"negative","hard",4.519444444,"F","keep","RL","bing",4
"170712-04","1","1","please","polite",1,"positive","hard",3.838888889,"F","keep","HQ","bing",3
"170712-04","1","2","please","nice",1,"positive","easy",3.838888889,"F","keep","HQ","bing",3
"170712-04","1","3","idq","mean",0,"negative","easy",3.838888889,"F","keep","HQ","bing",3
"170712-04","1","4","please_idq","nice",0,"positive","easy",3.838888889,"F","keep","HQ","bing",3
"170712-04","1","5","please","mean",1,"negative","easy",3.838888889,"F","keep","HQ","bing",3
"170712-04","1","6","please_idq","polite",1,"positive","hard",3.838888889,"F","keep","HQ","bing",3
"170712-04","1","7","idq","nice",0,"positive","easy",3.838888889,"F","keep","HQ","bing",3
"170712-04","1","8","please_idq","mean",1,"negative","easy",3.838888889,"F","keep","HQ","bing",3
"170712-04","1","9","please_idq","rude",1,"negative","hard",3.838888889,"F","keep","HQ","bing",3
"170712-04","1","10","idq","polite",0,"positive","hard",3.838888889,"F","keep","HQ","bing",3
"170712-04","1","11","please","rude",1,"negative","hard",3.838888889,"F","keep","HQ","bing",3
"170712-04","1","12","idq","rude",0,"negative","hard",3.838888889,"F","keep","HQ","bing",3
"170712-05","1","1","please","polite",0,"positive","hard",4.694444444,"F","keep","HQ","bing",4
"170712-05","1","2","please","nice",1,"positive","easy",4.694444444,"F","keep","HQ","bing",4
"170712-05","1","3","idq","mean",1,"negative","easy",4.694444444,"F","keep","HQ","bing",4
"170712-05","1","4","please_idq","nice",1,"positive","easy",4.694444444,"F","keep","HQ","bing",4
"170712-05","1","5","please","mean",1,"negative","easy",4.694444444,"F","keep","HQ","bing",4
"170712-05","1","6","please_idq","polite",1,"positive","hard",4.694444444,"F","keep","HQ","bing",4
"170712-05","1","7","idq","nice",1,"positive","easy",4.694444444,"F","keep","HQ","bing",4
"170712-05","1","8","please_idq","mean",1,"negative","easy",4.694444444,"F","keep","HQ","bing",4
"170712-05","1","9","please_idq","rude",1,"negative","hard",4.694444444,"F","keep","HQ","bing",4
"170712-05","1","10","idq","polite",1,"positive","hard",4.694444444,"F","keep","HQ","bing",4
"170712-05","1","11","please","rude",1,"negative","hard",4.694444444,"F","keep","HQ","bing",4
"170712-05","1","12","idq","rude",1,"negative","hard",4.694444444,"F","keep","HQ","bing",4
"170712-06","1","1","please","polite",1,"positive","hard",4.925,"F","drop","HQ","bing",4
"170712-06","1","2","please","nice",1,"positive","easy",4.925,"F","drop","HQ","bing",4
"170712-06","1","3","idq","mean",1,"negative","easy",4.925,"F","drop","HQ","bing",4
"170712-06","1","4","please_idq","nice",1,"positive","easy",4.925,"F","drop","HQ","bing",4
"170712-06","1","5","please","mean",1,"negative","easy",4.925,"F","drop","HQ","bing",4
"170712-07","1","1","please","polite",1,"positive","hard",3.052777778,"M","keep","HQ","bing",3
"170712-07","1","2","please","nice",1,"positive","easy",3.052777778,"M","keep","HQ","bing",3
"170712-07","1","3","idq","mean",1,"negative","easy",3.052777778,"M","keep","HQ","bing",3
"170712-07","1","4","please_idq","nice",0,"positive","easy",3.052777778,"M","keep","HQ","bing",3
"170712-07","1","5","please","mean",0,"negative","easy",3.052777778,"M","keep","HQ","bing",3
"170712-07","1","6","please_idq","polite",0,"positive","hard",3.052777778,"M","keep","HQ","bing",3
"170712-07","1","7","idq","nice",0,"positive","easy",3.052777778,"M","keep","HQ","bing",3
"170712-07","1","8","please_idq","mean",1,"negative","easy",3.052777778,"M","keep","HQ","bing",3
"170712-07","1","9","please_idq","rude",1,"negative","hard",3.052777778,"M","keep","HQ","bing",3
"170712-07","1","10","idq","polite",1,"positive","hard",3.052777778,"M","keep","HQ","bing",3
"170712-07","1","11","please","rude",0,"negative","hard",3.052777778,"M","keep","HQ","bing",3
"170712-07","1","12","idq","rude",1,"negative","hard",3.052777778,"M","keep","HQ","bing",3
"170712-09","1","1","please","polite",1,"positive","hard",4.938888889,"M","keep","HQ","bing",4
"170712-09","1","2","please","nice",1,"positive","easy",4.938888889,"M","keep","HQ","bing",4
"170712-09","1","3","idq","mean",0,"negative","easy",4.938888889,"M","keep","HQ","bing",4
