"subid","order","trial","request_type","question_type","correct","age","gender","ethnicity","experimenter","comments","age_fct"
"180417-01","1","1","please","polite",1,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-01","1","2","please","polite",1,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-01","1","3","idq","rude",1,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-01","1","4","please_idq","polite",0,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-01","1","5","please","rude",0,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-01","1","6","please_idq","polite",0,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-01","1","7","idq","polite",0,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-01","1","8","please_idq","rude",0,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-01","1","9","please_idq","rude",1,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-01","1","10","idq","polite",1,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-01","1","11","please","rude",0,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-01","1","12","idq","rude",1,3.713888889,"M","A, C","ES","Answer for first trial was accidentally selected too soon",3
"180417-02","1","1","please","polite",0,3.722222222,"F","H","ES","",3
"180417-02","1","2","please","polite",0,3.722222222,"F","H","ES","",3
"180417-02","1","3","idq","rude",1,3.722222222,"F","H","ES","",3
"180417-02","1","4","please_idq","polite",0,3.722222222,"F","H","ES","",3
"180417-02","1","5","please","rude",0,3.722222222,"F","H","ES","",3
"180417-02","1","6","please_idq","polite",0,3.722222222,"F","H","ES","",3
"180417-02","1","7","idq","polite",1,3.722222222,"F","H","ES","",3
"180417-02","1","8","please_idq","rude",1,3.722222222,"F","H","ES","",3
"180417-02","1","9","please_idq","rude",1,3.722222222,"F","H","ES","",3
"180417-02","1","10","idq","polite",1,3.722222222,"F","H","ES","",3
"180417-02","1","11","please","rude",0,3.722222222,"F","H","ES","",3
"180417-02","1","12","idq","rude",0,3.722222222,"F","H","ES","",3
"180417-03","1","1","please","polite",1,4.252777778,"M","A, F","ES","",4
"180417-03","1","2","please","polite",1,4.252777778,"M","A, F","ES","",4
"180417-03","1","3","idq","rude",1,4.252777778,"M","A, F","ES","",4
"180417-03","1","4","please_idq","polite",1,4.252777778,"M","A, F","ES","",4
"180417-03","1","5","please","rude",0,4.252777778,"M","A, F","ES","",4
"180417-03","1","6","please_idq","polite",1,4.252777778,"M","A, F","ES","",4
"180417-03","1","7","idq","polite",1,4.252777778,"M","A, F","ES","",4
"180417-03","1","8","please_idq","rude",0,4.252777778,"M","A, F","ES","",4
"180417-03","1","9","please_idq","rude",1,4.252777778,"M","A, F","ES","",4
"180417-03","1","10","idq","polite",0,4.252777778,"M","A, F","ES","",4
"180417-03","1","11","please","rude",1,4.252777778,"M","A, F","ES","",4
"180417-03","1","12","idq","rude",1,4.252777778,"M","A, F","ES","",4
"180419-02","1","1","please","polite",0,4.2,"M","Af, C","ES","Very impatient to proceed with game in general; selected answer before hearing question on trials 8 and 12; tried to select both answers on trials 7 and 9",4
"180419-02","1","2","please","polite",1,4.2,"M","Af, C","ES","Very impatient to proceed with game in general; selected answer before hearing question on trials 8 and 12; tried to select both answers on trials 7 and 9",4
