subid,keepdrop,order,practice1,practice2,trial1_1,trial1_2,trial2_1,trial2_2,trial3_1,trial3_2,trial4_1,trial4_2,trial5_1,trial5_2,trial6_1,trial6_2,trial7_1,trial7_2,trial8_1,trial8_2,trial9_1,trial9_2,trial10_1,trial10_2,trial11_1,trial11_2,trial12_1,trial12_2,polite_meaning,polite_person,comments
160728_02,keep,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2,being nice,NA,"Participant mentioned previous participant's name and that previous participant's mother is named Amy. Participant's best friend and best friend's mother are named Kate. Also, participant thought trial 10 included ""please""?"
160728_03,keep,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,NA,NA,"Participant seems to have just followed a ""2 1"" pattern? She had some trouble with the first practice question, but she eventually answered it and the second question correctly. She asked to go back to the classroom."
160728_04,keep,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,2,1,2,"saying ""please""",NA,Participant asked to go back to classroom before answering last question
160728_05,keep,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,Participant became restless and asked to go back to classroom.
160729_02,keep,2,1,1,NA,NA,1,NA,NA,NA,2,2,2,1,1,1,2,NA,2,2,2,1,2,NA,1,2,2,NA,nice,nice,"Participant seemed to rely on a ""please means polite"" rule and expressed confusion when ""please"" was not used. Also, the video was taken on my phone due to camera issues."
160801_02,keep,1,1,1,NA,NA,2,1,2,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Participant became restless and asked to go back to classroom.
160802_01,keep,2,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,NA,not running inside the house,
160802_03,keep,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,NA,being nice,"Participant at one point responded to a please+imp by remarking it'd ""be nicer"" to use interrogative+imp."
160803_01,keep,1,1,1,2,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,play,play,
160803_02,keep,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,Participant became restless and asked to go back to the classroom.
160804_01,keep,2,1,1,NA,NA,NA,NA,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,NA,NA,NA,NA,NA,NA,First few trial data missing due to experimenter error (sorry!). Participant became restless and asked to return to classroom
160811_03,keep,2,2,1,2,1,1,2,1,2,2,2,2,NA,2,2,2,1,2,2,2,1,2,2,1,1,2,2,good,giving things to other people that they need,
160811_04,keep,1,1,2,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,nice,nice,"Parent mistakenly wrote 8/12 as date on consent form, though actual date is 8/11"
160811_06,keep,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,NA,NA,
160816_03,keep,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,"you say ""please""","share, play together",
160816_04,keep,1,NA,2,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,2,2,1,1,2,NA,NA,"Child had trouble with first practice trial (""meaner""). He answered ""nicer"" question correctly and then answered ""meaner"" correctly when I asked him again afterwards."
160816_06,keep,2,2,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,2,2,playing with each other,can you play with me,
160816_07,keep,1,1,2,2,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,1,1,nice,share
160817_01,keep,2,2,1,2,2,1,2,2,1,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,nice,plays with other people,
160817_02,keep,1,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,1,2,1,1,2,NA,NA,
160817_03,drop,1,1,2,2,1,2,1,2,2,1,2,2,1,1,2,NA,NA,2,2,2,1,2,1,2,2,2,NA,NA,NA,"I accidentally said ""please"" on plain int phrases two times, so those responses are marked NA."
160817_05,keep,2,2,1,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,happy,giving things to other people that they ask for,"The child often explained his reasoning (such and such will happen because ""he was more polite"")"
160817_06,keep,1,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,NA,NA,2,1,1,2,nice,play,"I accidentally said ""please"" on plain int phrases one time, so those responses are marked NA."
160817_07,keep,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,NA,go on a walk,"I suspect the child was following a ""2, 1"" pattern the entire way through."
160817_08,keep,1,1,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1,2,1,NA,nothing,
160818_03,keep,1,1,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,helpful,helping people,No videotaping (parent did not consent). The consent form was scribbled on by a younger sibling.
160818_05,keep,2,2,1,2,2,2,1,2,1,2,2,2,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,"I don't know what ""polite"" means",be rude,
160818_06,keep,2,2,1,2,NA,1,2,2,1,2,NA,2,1,2,1,2,1,2,2,2,1,2,2,1,2,1,2,NA,NA,
160818_07,keep,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,1,2,nice,nice,
160819_01,keep,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,1,Mama,Dada,"Child failed ""meaner"" practice trial on the first try, succeeded on ""nicer"" practice trial, and then succeeded on ""meaner"" practice trial. Child seemed to use patterns of ""1,2"" and ""2,1"""
160819_02,keep,2,2,1,1,2,1,2,1,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,2,2,2,NA,NA,
160819_03,keep,1,1,2,2,1,1,1,1,2,2,1,2,1,2,2,2,1,2,1,2,1,1,2,2,1,1,2,NA,NA,
160819_06,keep,2,2,1,1,2,1,2,2,1,2,1,1,2,2,1,2,1,1,2,2,1,2,1,1,2,1,2,NA,something,"Parents said they use the word ""manners"" when teaching about politeness"
160819_07,keep,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,NA,NA,
160819_08,keep,1,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,1,2,1,1,2,2,1,2,1,NA,things,
160822_01,keep,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,nice,be's nice,
160822_03,keep,2,2,1,2,2,2,1,2,1,2,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
160822_04,keep,2,2,1,2,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,2,2,please,"""Go to the store with me""; happy person",
160822_06,keep,1,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,1,1,2,NA,NA,2,1,1,2,"asking, says kindly",plays,"I accidentally mispoke on trial 10 and started to say please during plain int, so I omitted answers (which were 1 and 2)."
160823_01,keep,2,2,1,2,1,1,2,2,1,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,2,2,1,solar system is in our galaxy,the solar system lives in the solar system,
