subid,sex,age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160725_01,F,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160725_02,F,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160725_03,M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160725_04,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160728_01,F,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160728_02,F,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160728_03,F,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160728_04,F,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160728_05,F,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160729_01,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160729_02,M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160801_01,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160801_02,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160802_01,M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160802_02,M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160802_03,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160803_01,M,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160803_02,F,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160804_01,M,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
