subid,order,practice1,practice2,trial1_1,trial1_2,trial2_1,trial2_2,trial3_1,trial3_2,trial4_1,trial4_2,trial5_1,trial5_2,trial6_1,trial6_2,trial7_1,trial7_2,trial8_1,trial8_2,trial9_1,trial9_2,trial10_1,trial10_2,trial11_1,trial11_2,trial12_1,trial12_2,polite_meaning,polite_person,comments,
160725_01,1,,,1,NA,1,NA,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,2,NA,2,NA,1,NA,,,Couldn't get camera working-- have audio recording instead. Participant gave some wrong answers.,
160725_02,1,,,1,NA,1,NA,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,NA,1,NA,,,,
160725_03,1,,,2,NA,2,NA,2,NA,1,NA,2,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,NA,1,NA,,,"Participant gave a lot of ""incorrect"" answers-- was maybe being influenced by the order I pointed to the characters when asking ""Which one"" early on?",
160725_04,1,,,2,NA,1,NA,1,NA,2,NA,2,NA,2,NA,2,NA,2,NA,1,NA,1,NA,2,NA,1,NA,,,Participant played with nametag during study-- don't know if name is ever visible on film?,
160728_01,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,2,1,1,2,being happy,"fix stuff, help others",Forgot to remove participant's nametag for first few trials. Participant's mother is named Amy.,
160728_02,1,1,1,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,1,1,2,being nice,NA,"Participant mentioned previous participant's name and that previous participant's mother is named Amy. Participant's best friend and best friend's mother are named Kate. Also, participant thought trial 10 included ""please""?",
160728_03,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,NA,NA,"Participant seems to have just followed a ""2 1"" pattern? She had some trouble with the first practice question, but she eventually answered it and the second question correctly. She asked to go back to the classroom.",
160728_04,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,2,1,2,"saying ""please""",NA,Participant asked to go back to classroom before answering last question,
160728_05,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,Participant became restless and asked to go back to classroom.,
160729_01,2,1,1,2,2,1,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Participant became restless and asked to go back to classroom.,
160729_02,2,1,1,NA,NA,1,NA,NA,NA,2,2,2,1,1,1,2,NA,2,2,2,1,2,NA,1,2,2,NA,nice,nice,"Participant seemed to rely on a ""please means polite"" rule and expressed confusion when ""please"" was not used. Also, the video was taken on my phone due to camera issues.",
160801_01,2,1,1,2,2,1,2,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,"Says ""may you please"" and ""thank you""",shares (participant complained about impolite sister who doesn't share toys),,
160801_01,1,1,1,NA,NA,2,1,2,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Participant became restless and asked to go back to classroom.,
160802_01,2,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,1,NA,not running inside the house,,
160802_02,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Participant failed the practice trial ""meaner"" question, probably due to English fluency issues.",
160802_03,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,1,1,2,NA,being nice,"Participant at one point responded to a please+imp by remarking it'd ""be nicer"" to use interrogative+imp.",
160803_01,1,1,1,2,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1,1,2,1,1,2,1,1,1,play,play,,
160803_02,1,1,1,1,2,2,1,2,2,2,2,2,1,2,1,2,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,Participant became restless and asked to go back to the classroom.,
160804_01,2,1,1,NA,NA,NA,NA,2,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,NA,NA,NA,NA,NA,NA,First few trial data missing due to experimenter error (sorry!). Participant became restless and asked to return to classroom,
