speaker_voice,Item_simple,Politeness,Intensity,Mean Pitch,Max Pitch,order,trial,speaker,Syntax,Item,Listener,Speaker,audio_start,audio_lengthj,OLD_audio_start_time,OLD_audio_length,incorrect iPad audio,,sound_file_name
benny,light,Polite,67.05692752,135.3169322,296.607584,1,1,1,Please,turn off light,Anne,Greg,0,1.428,16.711,1.178,"""ff the light. Please tur""",,order1_test8_speaker2
kyle,light,Direct,72.90828324,135.3392379,338.255503,1,1,2,Imp,turn off light,Anne,Bob,3.518,1.091,95.908,0.88,"""ow to play your game""",,order2_test4_speaker2
kara,water,Polite,58.96547743,205.8960959,258.1877046,1,2,1,Please,pour water,Fred,Jamie,6.757,1.463,78.292,1.742,"""pick up the toys. Pour me more""",,order1_test5_speaker2
danielle,water,Direct,68.18221067,254.3244009,321.1654857,1,2,2,Imp,pour water,Fred,Suzy,10.449,1.474,50.529,1.339,"""Can you pick up""",,order2_test8_speaker2
danielle,toys,Direct,69.98148422,249.7660284,372.5046697,1,3,1,Imp,pick up toys,Rick,Millie,14.025,1.428,46.178,1.277,"""an you please come to the store w""",,order2_test5_speaker2
kara,toys,Polite,61.16538127,199.8042681,267.2868862,1,3,2,IDQ,pick up toys,Rick,Franny,17.578,1.556,75.137,1.519,"""ith the store with me? Pick up""",,order1_test12_speaker2
kara,store,Direct,74.22614043,291.0345454,316.0425094,1,4,1,Imp,go to store,Simon,Carla,20.978,2.052,69.651,1.481,"""on't shout. Please don't""",,order2_test12_speaker1
danielle,store,Polite,67.01374115,261.2062104,314.7086544,1,4,2,Please IDQ,go to store,Simon,Ashley,24.619,2.872,43.29,2.231,"""Come to the store with me""",,order1_test1_speaker1
kyle,chocolate,Polite,71.69871109,234.2435582,301.0872846,1,5,1,Please,give chocolate,Tasha,Louis,29.133,1.949,90.205,1.215,"""ve me some chocolate""",,order2_test1_speaker1
benny,chocolate,Direct,65.15799039,138.7559952,179.195419,1,5,2,Imp,give chocolate,Tasha,Paul,32.672,1.795,7.258,1.227,"""ocolate. Please g""",,order1_test10_speaker1
benny,singing,Direct,64.66279914,135.7606289,167.9411983,1,6,1,Imp,stop singing,Kathy,Josh,36.16,1.641,22.395,1.24,"""Help me with this puzzle""",,order1_test6_speaker1
kyle,singing,Polite,69.40390219,222.9734578,315.9813079,1,6,2,Please IDQ,stop singing,Kathy,Andy,39.494,2.103,104.015,1.19,"""Stop singing""",,order2_test7_speaker1
danielle,run,Direct,67.4757409,223.3770287,295.2293303,1,7,1,Imp,don't run inside,Tom,Marie,43.34,2.154,29.969,1.5,silence,,order1_test7_speaker1
kara,run,Polite,59.93988443,191.9500499,257.229012,1,7,2,IDQ,don't run inside,Tom,Amy,47.187,2.462,60.85,1.915,"""top running inside. Could y""",,order2_test3_speaker1
kyle,bread,Polite,68.82029174,101.4897159,161.2166359,1,8,1,Please IDQ,give bread,Alice,Claude,51.342,2.103,86.462,1.767,"""bread? Can you please give m""",,order2_test6_speaker2
benny,bread,Direct,67.15629619,117.5413451,167.2574517,1,8,2,Imp,give bread,Alice,Ernie,55.188,1.795,3.818,1.153,"""Can you please give me mo""",,order1_test9_speaker2
kara,scissors,Direct,59.46564917,168.6539429,260.3973452,1,9,1,Imp,hand over scissors,Chris,Jean,58.676,1.795,63.05,1.364,"""Stop running inside""",,order2_test2_speaker1
danielle,scissors,Polite,70.43549302,263.5297873,378.4456907,1,9,2,Please IDQ,hand over scissors,Chris,Mia,62.113,2.667,35.529,1.946,"""Hand me the scissors. Could you pl""",,order1_test11_speaker1
